NumeroLinha;Linha;Nome
557;702;ESTAÇÃO VILARINHO/XODO-MARIZE VIA JD. GUANABARA
561;7030-01;GUARANI/CENTRO
563;7031-01;JULIO MARIA/CENTRO
566;8001A-02;DESVIO FEIRA AV. AFONSO PENA
568;803-01;MARIA GORETTI/BELMONTE VIA EST.MINAS SHOPPING
570;8030-01;DOM SILVERIO/CENTRO
571;805;SAO MARCOS/MINAS SHOPPING VIA FERNAO DIAS
577;8102-02;UNIAO/CARMO SION - ATEND. PRÇA MIGUEL CHQUILOFF
578;8103;NOVA FLORESTA/SANTA LUCIA VIA LOURDES
579;8103-01;NOVA FLORESTA/SANTA LUCIA VIA LOURDES
581;8103R;SAO BENTO/CENTRO
585;8106-01;SANTA CRUZ/BH SHOPPING VIA BELVEDERE
586;8106-02;DESVIO FEIRA AV. AFONSO PENA
588;8108-01;CIDADE NOVA/SAVASSI VIA RUA DA BAHIA
589;8150;UNIAO/SERRA VIA FLORESTA/HOSPITAIS
592;8203-01;RENASCENCA/BURITIS VIA NOVA SUISSA
596;8207;MARIA GORETTI/ESTRELA DALVA
598;8208;SANTA CRUZ/BURITIS VIA AV. BARÃO
600;8250;EST.DIAMANTE/CRISTIANO MACHADO VIA ANEL RODOVIARIO
601;8250-03;EST.DIAMANTE/CRISTIANO MACHADO VIA ANEL RODOVIARIO
602;8250-05;EST.DIAMANTE/CRISTIANO MACHADO VIA ANEL RODOVIARIO
603;8250-06;EST.DIAMANTE/CRISTIANO MACHADO VIA ANEL RODOVIARIO
604;8250-07;EST.DIAMANTE/CRISTIANO MACHADO VIA ANEL RODOVIARIO
606;8401-01;CACHOEIRINHA/SAO JOSE
609;901;CIRCULAR LESTE-BALEIA/HOSPITAIS
610;901-01;CIRCULAR LESTE-BALEIA/HOSPITAIS
611;9032;GRANJA DE FREITAS/CENTRO VIA AV. DOS ANDRADAS
612;9032-01;GRANJA DE FREITAS/CENTRO VIA AV. DOS ANDRADAS
613;9101;ALTO VERA CRUZ/SÃO BENTO
614;9101-01;PRINCIPAL
620;9104-02;NOTURNO
621;9105;NOVA VISTA/SION
622;9105-01;NOVA VISTA/SION
623;9106;SAGRADA FAMILIA/SERRA
627;9201-01;BALEIA/NOVA GRANADA
629;9202-03;POMPEIA/JARDIM AMERICA
630;9202-04;DESVIO FEIRA AV. AFONSO PENA
632;9203;ESPLANADA / ESTORIL
637;9204-02;SANTA EFIGENIA/ESTORIL
639;9205-01;NOVA VISTA/NOVA CINTRA
642;9206;VERA CRUZ/BURITIS VIA AV. RAJA GABAGLIA
643;9206-01;VERA CRUZ/BURITIS VIA AV. RAJA GABAGLIA
644;9206-02;VERA CRUZ/BURITIS
649;9208-02;TAQUARIL/CONJ SANTA MARIA-NÃO ATEND.R. ERCILIA SIQ
650;9209;SAGRADA FAMILIA/GUTIERREZ VIA ASSEMBLEIA
651;9209-01;SAGRADA FAMILIA/GUTIERREZ VIA ASSEMBLEIA
654;9211;CAETANO FURQUIM/HAVAI
656;9212;CASA BRANCA/ALTO HAVAI
657;9212-01;CASA BRANCA/ALTO HAVAI
660;9250-02;CAETANO FURQUIM/NOVA CINTRA
661;9401;SANTA EFIGENIA/SANTA MARIA
664;9403-01;PARAISO/CAICARA
665;9403-02;PARAISO/CAICARA
668;9405;INSTITUTO AGRONOMICO/MONSENHOR MESSIAS
672;9407-02;ALTO VERA CRUZ/DOM BOSCO
673;9408;SANTA EFIGENIA/PADRE EUSTAQUIO
677;9410-01;SAGRADA FAMILIA/CORACAO EUCARISTICO
679;9411-01;CASA BRANCA/SAO JOSE
683;9414;SANTA INÊS / JOAO PINHEIRO
684;9414-01;SANTA INÊS / JOAO PINHEIRO
686;9501-01;SAO LUCAS/JARAGUA
689;9501-05;SAO LUCAS/JARAGUA
690;9502;SAO GERALDO/SAO FRANCISCO VIA ESPLANADA
693;9502-03;SAO GERALDO/SAO FRANCISCO VIA ESPLANADA
694;9503;TAQUARIL/JARAGUA
698;9550-01;CASA BRANCA/SAO FRANCISCO VIA METRO JOSE CANDIDO
700;9801-01;SAUDADE/SANTA CRUZ
703;9803-01;TAQUARIL/PALMARES
704;9804;SAO LUCAS/CONCORDIA
706;9804-02;SAO LUCAS/CONCORDIA
710;SC01A-01;CONTORNO A
713;SC01R;CONTORNO/PRACA MILTON CAMPOS
714;SC01R-01;CONTORNO/PRACA MILTON CAMPOS
715;SC02A;PRACA 7/SAVASSI VIA PCA DA LIBERDADE - SANTA CASA
716;SC02A-01;PRACA 7/SAVASSI VIA PCA DA LIBERDADE - SANTA CASA
717;SC02B;SAVASSI/PRACA 7 VIA SANTA CASA - PCA DA LIBERDADE
719;SC02B-02;SAVASSI/PRACA 7  - DESVIO FEIRA  AFONSO PENA
